house,baserate,credit,money
68.6,3.75,4830,-131.1
68.1,3.75,6060,344
67.7,3.5,4900,2457.8
67.8,3.5,5050,-1561.3
67.9,3.5,5700,-841.4
68,3.5,3350,-142.5
68,3.5,2600,117.2
67.8,3.5,3800,-484.6
67.6,3.5,4170,63.7
67.4,3.5,3780,83.7
67.2,3.5,5600,1379.4
67,3.5,5150,418.7
66.7,3.25,6280,-973.7
66.4,3.25,5570,142.5
66.2,3.5,8270,420
66.4,3.5,3030,2780.5
66.6,3.5,3790,-2437.2
67,3.5,4960,-634
67.3,3.5,5120,43.9
67.9,3.5,5120,-278.8
68.4,3.5,5040,39.4
68.6,3.5,5200,260.2
68.8,3.5,5850,1958.6
68.8,3.5,5760,-790.4
68.8,3.5,5770,-312.3
68.9,3.75,4640,385.6
69.1,4,5500,1602.9
69.4,4,5980,515.3
69.8,4,5942.2,-1214.4
70.4,4,5927.5,-313.1
71.1,4,5730.2,389.7
71.4,4.25,5443.3,-330.6
71.6,4.25,5533,-299
71.8,4.5,5261,34.7
72.2,4.5,5388,211.5
73.2,4.5,4090,2255.5
75.4,4.5,3271,-1513.3
76.9,4.5,2602,248.3
77.9,4.5,5106,341.8
78.3,4.5,4878,2437.3
78.6,4.5,4320,-1205.5
78.9,4.5,4198,-1288.3
79,4.5,4217,54
79.2,4.5,3819,-424.8
79.5,4.75,3960,-34.1
79.8,5,4100,172.5
80.2,5,4030,1900.2
80.6,5,3736,-122.2
81.1,5,3351,-745.8
81.3,5,2544,417.8
81.7,5,5948,367.7
82.1,5,4434,2650.9
83,5,4315,-2768.2
84,5,4299,-456.9
84.8,5,4386,473.6
85.7,5,4561,-467.5
86.4,5,3570,-142.5
86.8,5.25,4220,165
87.2,5.25,4237,2042
87.2,4.25,3647,-1020.5
86.8,4,5037,94.5
86.1,3,3400,511.9
85.6,2.5,6068,1589.2
85.4,2,5892,-229.1
85.3,2,6693,-935.8
85.4,2,7985,-289.6
85.5,2,7537,361.7
85.6,2,7668,0.3
85.9,2,8588,1732.3
86.1,2,7940,565.6
86.7,2,8247,1034
87.1,2,7176,2232.4
87.3,2,6382,-906.1
87.4,2,4800,853.9
87.5,2,9461,867.4
87.7,2,8196.1,2605.4
87.9,2,8749,-1419.8
88.1,2,7398,-445
88.1,2,6882.6,1037
88.1,2,6959,316.9
88,2.25,7038.6,122.9
87.9,2.25,5839.5,351.3
87.9,2.25,6197.5,2698.7
88.1,2.25,3983.1,-567.1
88.4,2.5,4181,-108.4
88.7,2.5,2836,965.1
89,2.75,7231,1706.7
89.7,2.75,6291,2179.2
90.4,3,8637,-2349.7
91.5,3,6520.1,-268.9
91.6,3,7457,948.1
92,3.25,7050.6,-157.6
92.4,3.25,5903,97.8
92.8,3.25,6611,660.5
93.3,3.25,6031.5,3066.9
93.7,3.25,6197,-1200.3
94,3.25,6744.9,60.7
94.1,3.25,6632,586.8
94.3,3.25,5948.4,3064.4
94.3,3.25,7073.2,-634.1
94.4,3.25,7248.1,-889.9
94.3,3.25,6890.5,156.4
94.2,3.25,6268.2,629.3
94,3.25,6905.4,182.2
93.8,3,7109.4,-68.7
93.5,3,6717,415.9
93.3,3,6216.4,1356
93.1,2.75,6785,1889.2
93,2.75,6504.5,-1082.1
92.8,2.75,6000.5,638.9
92.5,2.75,6819,657.1
92.4,2.75,6468.2,3476.6
92.3,2.75,6872.1,-1496.6
92.4,2.75,6579.2,625.1
92.6,2.5,7410.8,1205
92.6,2.5,7224.6,56.4
92.5,2.5,7643.2,253.1
92.4,2.5,7637.1,692.5
92.5,2.5,8758,3280.8
92.7,2.5,8594.6,-275.2
92.9,2.5,7245.1,-91.2
93,2.5,7130.6,707.9
93.3,2.5,7606.1,2258.5
93.5,2.5,9026.1,2478.6
93.7,2.5,8304.5,-1585.3
93.7,2.5,8545.6,93
93.8,2.5,9469.3,1126.1
93.8,2.5,9408.1,288.7
93.8,2.5,8638.5,255.8
93.9,2.25,7475,1296.3
94.1,2.25,7859,3836.1
94.3,2,7669,-1165.6
94.5,2,7335,298.3
94.6,2,6130,1902.2
94.8,2,9005,1452.1
95,2,8667,3725.2
95.3,1.75,9618,-97.8
95.7,1.75,8563,-739
96,1.75,8887,1106.1
96.3,1.5,8510,212.5
96.6,1.5,9518,544.2
96.9,1.5,10497,1141.9
97.2,1.5,10238,2545
97.5,1.5,9464,1881.7
97.8,1.5,9863,-711.6
98,1.5,6459,877.9
98,1.5,8861,1755.7
98,1.5,9392,4504.3
98,1.5,10359,-1818.5
98,1.5,9175.1,-121.5
98,1.5,9930,1171.9
98.1,1.25,10520,211.8
98.1,1.25,8856,328.7
98.2,1.25,10199,719.6
98.3,1.25,4947,4003.3
98.4,1.25,7315,-1125.7
98.6,1.25,8678,198.2
98.7,1.25,2892,1032.1
98.7,1.25,9392,3338.1
98.7,1.25,8842,1864
98.7,1.25,9701,-1978.6
98.8,1.25,10510,256.8
99,1.25,9631,1681.7
99.2,1.25,9543,-360.8
99.4,1.25,8785,357
99.6,1.25,10670,595.4
99.7,1.25,7739,2723.2
99.9,1.25,4762,4267.8
100,1.5,8850,-2400.2
100.1,1.5,2367,275.2
100.3,1.5,8882,939.6
100.5,1.5,8620,4267.5
100.6,1.5,10706,-1582.3
100.6,1.5,9489,-1414.8
100.6,1.5,13067,1074.8
100.6,1.5,6943,-53.6
100.6,1.5,10740,-130.8
100.6,1.5,9375,406.9
100.9,1.5,4710,3010.8
101.1,1.5,8408,1095.2
101.2,1.75,4266,-950.8
101.2,1.75,2200,715.3
101.1,1.75,13177,2293.7
100.9,1.75,5756,3621.5
100.8,1.75,9931,-2621.8
100.6,1.75,8762,-170.2
100.4,1.75,10243,1060.2
100.3,1.75,10547,-55.9
100.2,1.5,10461,-16.9
100.1,1.5,8166,712.6
100.2,1.5,4628,4588.1
100.3,1.25,10296,-1055.1
100.5,1.25,7449,203
100.9,1.25,2284,1461.8
101.1,1.25,12211,4340.9
101.5,1.25,12892,1749.6
102,0.75,17428,-704.9
102.3,0.75,18043,1503.2
102.4,0.5,10965.1,3021.6
102.9,0.5,20054,1488.3
103.5,0.5,14127,1591
104,0.5,14443,1403
104.4,0.5,16581,2876.5
104.8,0.5,15804,3469.7
105.3,0.5,16125,-121.4
106.3,0.5,5800,1244.5
107.1,0.5,15327,2212.7
108.1,0.5,16513,5369.9
108.9,0.5,18550,-678.1
109.6,0.5,17567,116.2
110.4,0.5,19747,1669.8
111.7,0.5,21804.1,1248.2
